Inventory_ID,Product_ID,Warehouse,Current_Stock,Minimum_Stock,Maximum_Stock,Stock_Status,Validation_Status
INV0044,PROD0235,Chennai DC,304,39,449,Healthy,Valid
INV0045,PROD0131,Chennai DC,311,42,331,Healthy,Valid
INV0046,PROD0250,Chennai DC,125,39,270,Healthy,Valid
INV0047,PROD0224,Chennai DC,174,27,439,Healthy,Valid
INV0048,PROD0145,Delhi DC,193,26,333,Healthy,Valid
INV0049,PROD0068,Mumbai DC,214,44,418,Healthy,Valid
INV0050,PROD0049,Delhi DC,215,42,269,Healthy,Valid
INV0051,PROD0134,Delhi DC,224,40,264,Healthy,Valid
INV0052,PROD0213,Hyderabad DC,122,31,303,Healthy,Valid
INV0053,PROD0239,Chennai DC,113,30,264,Healthy,Valid
INV0054,PROD0032,Chennai DC,112,32,214,Healthy,Valid
INV0055,PROD0238,Chennai DC,162,38,341,Healthy,Valid
INV0056,PROD0069,Hyderabad DC,293,40,372,Healthy,Valid
INV0057,PROD0100,Mumbai DC,56,25,285,Healthy,Valid
INV0058,PROD0011,Delhi DC,221,23,228,Healthy,Valid
INV0059,PROD0109,Chennai DC,195,21,214,Healthy,Valid
INV0060,PROD0185,Hyderabad DC,195,27,255,Healthy,Valid
INV0061,PROD0193,Chennai DC,49,31,241,Healthy,Valid
INV0062,PROD0057,Hyderabad DC,333,26,435,Healthy,Valid
INV0063,PROD0190,Delhi DC,179,45,256,Healthy,Valid
INV0064,PROD0057,Chennai DC,99,25,429,Healthy,Valid
INV0065,PROD0001,Delhi DC,111,33,324,Healthy,Valid
INV0066,PROD0217,Hyderabad DC,367,34,392,Healthy,Valid
INV0067,PROD0193,Chennai DC,192,44,269,Healthy,Valid
INV0068,PROD0112,Chennai DC,154,30,210,Healthy,Valid
INV0070,PROD0044,Mumbai DC,114,26,291,Healthy,Valid
INV0071,PROD0184,Mumbai DC,16,32,457,Critical,Valid
INV0072,PROD0166,Hyderabad DC,149,42,306,Healthy,Valid
INV0073,PROD0098,Hyderabad DC,295,43,454,Healthy,Valid
INV0074,PROD0066,Delhi DC,166,31,326,Healthy,Valid
INV0076,PROD0094,Mumbai DC,183,22,215,Healthy,Valid
INV0077,PROD0013,Chennai DC,144,49,337,Healthy,Valid
INV0078,PROD0220,Mumbai DC,72,27,284,Healthy,Valid
INV0079,PROD0060,Chennai DC,149,21,264,Healthy,Valid
INV0080,PROD0230,Bengaluru DC,100,45,370,Healthy,Valid
INV0081,PROD0198,Mumbai DC,243,37,404,Healthy,Valid
INV0082,PROD0186,Chennai DC,152,49,281,Healthy,Valid
INV0083,PROD0219,Delhi DC,80,36,329,Healthy,Valid
INV0084,PROD0101,Bengaluru DC,365,35,420,Healthy,Valid
INV0085,PROD0214,Delhi DC,112,34,322,Healthy,Valid
INV0086,PROD0183,Chennai DC,94,44,227,Healthy,Valid
INV0087,PROD0001,Chennai DC,356,45,398,Healthy,Valid
INV0088,PROD0139,Chennai DC,267,34,411,Healthy,Valid
INV0089,PROD0193,Hyderabad DC,107,25,237,Healthy,Valid
INV0090,PROD0019,Delhi DC,175,46,249,Healthy,Valid
INV0091,PROD0098,Delhi DC,53,20,319,Healthy,Valid
INV0092,PROD0056,Mumbai DC,255,34,369,Healthy,Valid
INV0093,PROD0063,Mumbai DC,196,48,291,Healthy,Valid
INV0094,PROD0183,Mumbai DC,178,34,309,Healthy,Valid
INV0095,PROD0243,Bengaluru DC,153,29,218,Healthy,Valid
INV0096,PROD0228,Hyderabad DC,187,22,286,Healthy,Valid
INV0097,PROD0123,Hyderabad DC,177,22,282,Healthy,Valid
INV0099,PROD0016,Mumbai DC,151,40,222,Healthy,Valid
INV0100,PROD0205,Delhi DC,269,39,286,Healthy,Valid
INV0101,PROD0133,Hyderabad DC,92,44,334,Healthy,Valid
INV0102,PROD0171,Chennai DC,246,36,450,Healthy,Valid
INV0103,PROD0085,Hyderabad DC,116,43,252,Healthy,Valid
INV0105,PROD0245,Hyderabad DC,136,38,315,Healthy,Valid
INV0106,PROD0110,Delhi DC,111,49,220,Healthy,Valid
INV0107,PROD0220,Hyderabad DC,104,45,268,Healthy,Valid
INV0108,PROD0237,Bengaluru DC,366,22,408,Healthy,Valid
INV0109,PROD0187,Hyderabad DC,242,50,370,Healthy,Valid
INV0110,PROD0162,Chennai DC,172,24,403,Healthy,Valid
INV0111,PROD0058,Hyderabad DC,134,35,292,Healthy,Valid
INV0112,PROD0128,Hyderabad DC,99,21,400,Healthy,Valid
INV0113,PROD0211,Mumbai DC,306,47,444,Healthy,Valid
INV0114,PROD0232,Bengaluru DC,282,42,323,Healthy,Valid
INV0115,PROD0146,Bengaluru DC,80,27,356,Healthy,Valid
INV0116,PROD0199,Bengaluru DC,272,33,418,Healthy,Valid
INV0117,PROD0122,Delhi DC,200,50,256,Healthy,Valid
INV0118,PROD0226,Hyderabad DC,119,38,312,Healthy,Valid
INV0119,PROD0074,Mumbai DC,242,30,353,Healthy,Valid
INV0120,PROD0219,Bengaluru DC,163,22,225,Healthy,Valid
INV0121,PROD0230,Mumbai DC,104,21,306,Healthy,Valid
INV0122,PROD0075,Delhi DC,87,41,387,Healthy,Valid
INV0123,PROD0043,Delhi DC,59,23,338,Healthy,Valid
INV0125,PROD0211,Bengaluru DC,88,28,359,Healthy,Valid
INV0126,PROD0213,Mumbai DC,131,22,356,Healthy,Valid
INV0127,PROD0165,Chennai DC,198,23,358,Healthy,Valid
INV0128,PROD0009,Delhi DC,292,41,388,Healthy,Valid
INV0129,PROD0092,Delhi DC,176,29,313,Healthy,Valid
INV0130,PROD0204,Delhi DC,104,41,269,Healthy,Valid
INV0131,PROD0181,Bengaluru DC,153,21,226,Healthy,Valid
INV0132,PROD0033,Bengaluru DC,176,29,380,Healthy,Valid
INV0133,PROD0184,Hyderabad DC,289,23,436,Healthy,Valid
INV0135,PROD0216,Delhi DC,389,32,410,Healthy,Valid
INV0136,PROD0248,Delhi DC,269,34,411,Healthy,Valid
INV0137,PROD0169,Chennai DC,109,47,218,Healthy,Valid
INV0139,PROD0062,Hyderabad DC,165,50,455,Healthy,Valid
INV0140,PROD0107,Bengaluru DC,380,40,398,Healthy,Valid
INV0141,PROD0096,Bengaluru DC,230,35,260,Healthy,Valid
INV0142,PROD0169,Chennai DC,357,28,432,Healthy,Valid
INV0143,PROD0157,Mumbai DC,197,33,315,Healthy,Valid
INV0144,PROD0138,Hyderabad DC,5,21,280,Critical,Valid
INV0145,PROD0122,Hyderabad DC,370,49,462,Healthy,Valid
INV0146,PROD0060,Chennai DC,222,27,273,Healthy,Valid
INV0147,PROD0219,Mumbai DC,199,41,315,Healthy,Valid
INV0148,PROD0059,Hyderabad DC,73,27,204,Healthy,Valid
INV0149,PROD0206,Chennai DC,152,46,228,Healthy,Valid
INV0150,PROD0197,Bengaluru DC,203,35,342,Healthy,Valid
INV0151,PROD0200,Mumbai DC,166,49,369,Healthy,Valid
INV0152,PROD0140,Bengaluru DC,131,41,239,Healthy,Valid
INV0153,PROD0243,Bengaluru DC,218,24,240,Healthy,Valid
INV0154,PROD0066,Hyderabad DC,284,26,288,Healthy,Valid
INV0155,PROD0074,Chennai DC,90,42,228,Healthy,Valid
INV0156,PROD0219,Mumbai DC,436,22,442,Healthy,Valid
INV0157,PROD0116,Chennai DC,215,44,353,Healthy,Valid
INV0158,PROD0202,Bengaluru DC,190,31,300,Healthy,Valid
INV0159,PROD0242,Bengaluru DC,153,49,232,Healthy,Valid
INV0160,PROD0042,Chennai DC,235,26,442,Healthy,Valid
INV0161,PROD0008,Hyderabad DC,176,45,249,Healthy,Valid
INV0162,PROD0055,Chennai DC,104,40,418,Healthy,Valid
INV0163,PROD0250,Mumbai DC,274,46,368,Healthy,Valid
INV0164,PROD0083,Mumbai DC,64,48,223,Low Stock,Valid
INV0165,PROD0147,Delhi DC,68,40,321,Healthy,Valid
INV0166,PROD0249,Hyderabad DC,307,22,406,Healthy,Valid
INV0167,PROD0144,Chennai DC,228,24,330,Healthy,Valid
INV0168,PROD0031,Bengaluru DC,280,45,282,Healthy,Valid
INV0169,PROD0109,Bengaluru DC,115,21,365,Healthy,Valid
INV0170,PROD0179,Hyderabad DC,66,24,284,Healthy,Valid
INV0171,PROD0250,Bengaluru DC,70,35,398,Healthy,Valid
INV0172,PROD0007,Delhi DC,310,25,414,Healthy,Valid
INV0173,PROD0155,Bengaluru DC,134,31,223,Healthy,Valid
INV0174,PROD0082,Mumbai DC,177,38,358,Healthy,Valid
INV0175,PROD0013,Chennai DC,356,44,418,Healthy,Valid
INV0176,PROD0223,Delhi DC,83,49,248,Healthy,Valid
INV0177,PROD0080,Hyderabad DC,82,22,265,Healthy,Valid
INV0178,PROD0018,Chennai DC,278,20,416,Healthy,Valid
INV0179,PROD0208,Chennai DC,189,23,236,Healthy,Valid
INV0180,PROD0230,Bengaluru DC,195,30,247,Healthy,Valid
INV0181,PROD0180,Bengaluru DC,142,35,392,Healthy,Valid
INV0182,PROD0189,Chennai DC,124,27,206,Healthy,Valid
INV0183,PROD0148,Mumbai DC,213,35,222,Healthy,Valid
INV0184,PROD0171,Chennai DC,206,29,239,Healthy,Valid
INV0185,PROD0106,Delhi DC,113,28,357,Healthy,Valid
INV0186,PROD0181,Chennai DC,352,35,450,Healthy,Valid
INV0187,PROD0049,Mumbai DC,119,38,416,Healthy,Valid
INV0188,PROD0248,Mumbai DC,248,42,267,Healthy,Valid
INV0189,PROD0012,Hyderabad DC,192,24,265,Healthy,Valid
INV0190,PROD0001,Bengaluru DC,166,46,316,Healthy,Valid
INV0191,PROD0115,Bengaluru DC,169,47,306,Healthy,Valid
INV0192,PROD0169,Delhi DC,160,34,424,Healthy,Valid
INV0193,PROD0100,Mumbai DC,90,35,457,Healthy,Valid
INV0195,PROD0192,Delhi DC,90,26,232,Healthy,Valid
INV0196,PROD0073,Hyderabad DC,330,44,330,Overstock,Valid
INV0197,PROD0017,Delhi DC,192,29,316,Healthy,Valid
INV0198,PROD0215,Hyderabad DC,116,28,320,Healthy,Valid
INV0199,PROD0005,Hyderabad DC,382,32,446,Healthy,Valid
INV0200,PROD0240,Delhi DC,119,43,352,Healthy,Valid
INV0201,PROD0070,Chennai DC,101,45,410,Healthy,Valid
INV0202,PROD0146,Bengaluru DC,244,27,265,Healthy,Valid
INV0203,PROD0246,Chennai DC,337,47,377,Healthy,Valid
INV0204,PROD0001,Bengaluru DC,304,30,353,Healthy,Valid
INV0205,PROD0050,Delhi DC,140,43,285,Healthy,Valid
INV0206,PROD0151,Hyderabad DC,226,41,241,Healthy,Valid
INV0207,PROD0051,Delhi DC,107,21,287,Healthy,Valid
INV0209,PROD0230,Hyderabad DC,199,47,265,Healthy,Valid
INV0210,PROD0190,Chennai DC,108,34,259,Healthy,Valid
INV0211,PROD0095,Delhi DC,212,20,228,Healthy,Valid
INV0212,PROD0151,Mumbai DC,107,22,433,Healthy,Valid
INV0213,PROD0024,Chennai DC,129,37,220,Healthy,Valid
INV0214,PROD0139,Bengaluru DC,289,49,438,Healthy,Valid
INV0215,PROD0228,Bengaluru DC,58,36,444,Healthy,Valid
INV0216,PROD0110,Delhi DC,86,44,365,Healthy,Valid
INV0217,PROD0190,Chennai DC,83,20,242,Healthy,Valid
INV0218,PROD0060,Mumbai DC,164,26,247,Healthy,Valid
INV0219,PROD0016,Mumbai DC,110,39,216,Healthy,Valid
INV0220,PROD0094,Delhi DC,114,46,263,Healthy,Valid
INV0221,PROD0122,Mumbai DC,262,31,333,Healthy,Valid
INV0222,PROD0028,Mumbai DC,154,26,232,Healthy,Valid
INV0223,PROD0059,Mumbai DC,357,28,429,Healthy,Valid
INV0224,PROD0137,Mumbai DC,306,50,337,Healthy,Valid
INV0225,PROD0072,Chennai DC,137,26,241,Healthy,Valid
INV0226,PROD0198,Bengaluru DC,92,47,418,Healthy,Valid
INV0227,PROD0059,Chennai DC,137,50,361,Healthy,Valid
INV0228,PROD0014,Chennai DC,95,48,424,Healthy,Valid
INV0229,PROD0131,Chennai DC,86,48,276,Healthy,Valid
INV0230,PROD0087,Bengaluru DC,262,28,286,Healthy,Valid
INV0231,PROD0046,Hyderabad DC,124,47,253,Healthy,Valid
INV0232,PROD0179,Chennai DC,215,24,221,Healthy,Valid
INV0233,PROD0140,Delhi DC,226,34,378,Healthy,Valid
INV0234,PROD0008,Bengaluru DC,71,44,407,Healthy,Valid
INV0235,PROD0221,Bengaluru DC,210,22,239,Healthy,Valid
INV0236,PROD0150,Mumbai DC,243,35,315,Healthy,Valid
INV0237,PROD0015,Chennai DC,211,20,279,Healthy,Valid
INV0238,PROD0030,Chennai DC,145,40,406,Healthy,Valid
INV0239,PROD0022,Mumbai DC,265,39,292,Healthy,Valid
INV0240,PROD0020,Delhi DC,62,36,282,Healthy,Valid
INV0241,PROD0130,Bengaluru DC,99,21,187,Healthy,Valid
INV0242,PROD0097,Delhi DC,319,22,383,Healthy,Valid
INV0243,PROD0039,Chennai DC,182,23,300,Healthy,Valid
INV0244,PROD0131,Delhi DC,90,31,290,Healthy,Valid
INV0245,PROD0201,Bengaluru DC,261,37,363,Healthy,Valid
INV0246,PROD0054,Chennai DC,84,47,384,Healthy,Valid
INV0248,PROD0238,Hyderabad DC,316,28,423,Healthy,Valid
INV0250,PROD0141,Hyderabad DC,166,48,352,Healthy,Valid
INV0251,PROD0136,Hyderabad DC,86,28,239,Healthy,Valid
INV0252,PROD0179,Delhi DC,220,43,346,Healthy,Valid
INV0253,PROD0105,Bengaluru DC,243,27,398,Healthy,Valid
INV0254,PROD0185,Chennai DC,118,33,230,Healthy,Valid
INV0255,PROD0022,Bengaluru DC,234,46,297,Healthy,Valid
INV0256,PROD0100,Delhi DC,163,44,439,Healthy,Valid
INV0257,PROD0104,Delhi DC,271,30,275,Healthy,Valid
INV0258,PROD0234,Bengaluru DC,133,35,290,Healthy,Valid
INV0259,PROD0221,Chennai DC,120,50,412,Healthy,Valid
INV0260,PROD0095,Chennai DC,225,36,418,Healthy,Valid
INV0261,PROD0186,Hyderabad DC,74,39,377,Healthy,Valid
INV0262,PROD0075,Bengaluru DC,126,47,282,Healthy,Valid
INV0263,PROD0054,Delhi DC,111,26,349,Healthy,Valid
INV0264,PROD0102,Mumbai DC,216,45,236,Healthy,Valid
INV0265,PROD0117,Bengaluru DC,176,37,358,Healthy,Valid
INV0266,PROD0152,Mumbai DC,138,35,240,Healthy,Valid
INV0268,PROD0236,Chennai DC,305,35,309,Healthy,Valid
INV0269,PROD0129,Chennai DC,111,43,210,Healthy,Valid
INV0270,PROD0211,Bengaluru DC,84,38,291,Healthy,Valid
INV0271,PROD0141,Chennai DC,136,36,263,Healthy,Valid
INV0272,PROD0121,Hyderabad DC,113,28,412,Healthy,Valid
INV0273,PROD0246,Hyderabad DC,173,49,439,Healthy,Valid
INV0274,PROD0101,Delhi DC,58,24,209,Healthy,Valid
INV0275,PROD0207,Chennai DC,121,40,241,Healthy,Valid
INV0276,PROD0060,Hyderabad DC,253,30,345,Healthy,Valid
INV0277,PROD0050,Mumbai DC,146,50,376,Healthy,Valid
INV0279,PROD0240,Delhi DC,239,24,442,Healthy,Valid
INV0280,PROD0162,Delhi DC,279,27,446,Healthy,Valid
INV0281,PROD0248,Bengaluru DC,163,36,233,Healthy,Valid
INV0282,PROD0200,Bengaluru DC,337,50,444,Healthy,Valid
INV0283,PROD0227,Hyderabad DC,62,32,408,Healthy,Valid
INV0284,PROD0099,Hyderabad DC,98,22,437,Healthy,Valid
INV0286,PROD0131,Hyderabad DC,304,38,330,Healthy,Valid
INV0287,PROD0109,Mumbai DC,208,39,344,Healthy,Valid
INV0288,PROD0192,Bengaluru DC,321,27,430,Healthy,Valid
INV0289,PROD0115,Delhi DC,321,29,323,Healthy,Valid
INV0290,PROD0035,Mumbai DC,80,27,360,Healthy,Valid
INV0291,PROD0027,Hyderabad DC,316,42,362,Healthy,Valid
INV0292,PROD0095,Chennai DC,352,42,414,Healthy,Valid
INV0293,PROD0047,Hyderabad DC,228,28,301,Healthy,Valid
INV0294,PROD0147,Hyderabad DC,222,44,443,Healthy,Valid
INV0295,PROD0213,Chennai DC,148,44,245,Healthy,Valid
INV0296,PROD0038,Delhi DC,192,38,378,Healthy,Valid
INV0297,PROD0038,Bengaluru DC,202,29,391,Healthy,Valid
INV0298,PROD0146,Mumbai DC,164,50,447,Healthy,Valid
INV0299,PROD0215,Mumbai DC,254,29,396,Healthy,Valid
INV0300,PROD0145,Bengaluru DC,251,33,340,Healthy,Valid
