Product_ID,Product_Name,Category,Brand,Cost_Price,Selling_Price,Supplier_ID,GST_Percentage,Validation_Status
PROD0023,Boat Pro Badminton Racket v2,Sports,Boat,17441.38,30040.45,SUPP0012,12,Valid
PROD0024,OnePlus Roasted Almonds 500g v3,Groceries,OnePlus,647.91,893.77,SUPP0011,5,Valid
PROD0025,Amul Roasted Almonds 500g v1,Groceries,Amul,565.38,1021.1,SUPP0013,18,Valid
PROD0026,Puma Robotic Vacuum Cleaner v1,Home Appliances,Puma,42840.26,68875.8,SUPP0004,12,Valid
PROD0027,Dell Mixer Grinder 750W v4,Kitchen,Dell,2548.82,3309.47,SUPP0014,12,Valid
PROD0028,Lenovo Roasted Almonds 500g v3,Groceries,Lenovo,302.4,535.04,SUPP0009,12,Valid
PROD0029,Dell Smartphone 5G v8,Electronics,Dell,36606.73,48890.32,SUPP0003,5,Valid
PROD0030,Amul L-Shaped Fabric Sofa v7,Furniture,Amul,22639.38,30621.24,SUPP0006,28,Valid
PROD0031,Tata Mixer Grinder 750W v5,Kitchen,Tata,7209.6,12752.16,SUPP0011,28,Valid
PROD0032,Nike Motorized Standing Desk v6,Furniture,Nike,19704.35,27428.87,SUPP0004,5,Valid
PROD0033,Nike Pro Badminton Racket v7,Sports,Nike,17457.71,24641.7,SUPP0011,28,Valid
PROD0034,"Boat Gaming Laptop 15"" v6",Electronics,Boat,43211.35,61616.19,SUPP0007,12,Valid
PROD0035,Wildcraft Motorized Treadmill 2.5HP v8,Sports,Wildcraft,10938.74,18012.76,SUPP0001,18,Valid
PROD0036,Prestige Running Sports Shoes v7,Fashion,Prestige,602.33,1024.97,SUPP0005,18,Valid
PROD0037,Dell Motorized Standing Desk v7,Furniture,Dell,14855.76,26636.97,SUPP0005,28,Valid
PROD0038,LG Roasted Almonds 500g v1,Groceries,LG,425.53,623.99,SUPP0010,12,Valid
PROD0039,LG Induction Cooktop 2000W v6,Kitchen,LG,1446.64,2243.52,SUPP0012,5,Valid
PROD0040,Dell Adjustable Dumbbell 20kg v6,Sports,Dell,16446.45,27933.43,SUPP0009,5,Valid
PROD0041,Samsung Organic Green Tea 250g v4,Groceries,Samsung,485.55,645.29,SUPP0003,28,Valid
PROD0042,Amul Non-Slip Yoga Mat 8mm v5,Sports,Amul,14482.75,25952,SUPP0006,28,Valid
PROD0043,Prestige Front Load Washing Machine 7kg v1,Home Appliances,Prestige,4033.19,4892.33,SUPP0009,5,Valid
PROD0044,Dell Stainless Steel Water Bottle 1L v1,Kitchen,Dell,1671.26,2333,SUPP0004,12,Valid
PROD0045,"Sony 4K OLED Smart TV 55"" v2",Electronics,Sony,52994.33,76608.97,SUPP0007,12,Valid
PROD0046,Amul Pro Badminton Racket v2,Sports,Amul,1654.53,2528.01,SUPP0012,28,Valid
PROD0047,"Samsung 4K OLED Smart TV 55"" v9",Electronics,Samsung,39632.77,51471.11,SUPP0012,28,Valid
PROD0048,Puma Robotic Vacuum Cleaner v5,Home Appliances,Puma,35852.8,52931.25,SUPP0012,5,Valid
PROD0049,Sony Denim Tapered Jeans v4,Fashion,Sony,763.67,1397.53,SUPP0010,28,Valid
PROD0050,Sony Motorized Standing Desk v2,Furniture,Sony,8945.47,13097.2,SUPP0005,28,Valid
PROD0051,Wildcraft Cotton Polo T-Shirt v9,Fashion,Wildcraft,2452.36,3552.4,SUPP0008,28,Valid
PROD0052,Nike Designer Wristwatch v2,Fashion,Nike,2226.92,3508.78,SUPP0001,28,Valid
PROD0053,LG Motorized Treadmill 2.5HP v6,Sports,LG,8739.47,11106.26,SUPP0005,18,Valid
PROD0054,Nike Double Door Refrigerator 340L v2,Home Appliances,Nike,26337.63,35160.56,SUPP0008,12,Valid
PROD0055,"Boat Gaming Laptop 15"" v8",Electronics,Boat,34402.64,60059.18,SUPP0013,12,Valid
PROD0056,"Nike Gaming Laptop 15"" v5",Electronics,Nike,27241.32,45801.71,SUPP0014,12,Valid
PROD0057,"HP 4K OLED Smart TV 55"" v7",Electronics,HP,56745.67,77985.24,SUPP0004,28,Valid
PROD0058,Lenovo Non-Stick Cookware Set 5-Piece v4,Kitchen,Lenovo,3006.89,4993.74,SUPP0009,5,Valid
PROD0059,"Dell 4K OLED Smart TV 55"" v2",Electronics,Dell,24919.04,42162.43,SUPP0003,5,Valid
PROD0060,LG Microwave Oven 28L v2,Home Appliances,LG,4160.13,6139.18,SUPP0003,28,Valid
PROD0061,Amul Robotic Vacuum Cleaner v7,Home Appliances,Amul,19474.74,27126.13,SUPP0007,18,Valid
PROD0062,Wildcraft Roasted Almonds 500g v9,Groceries,Wildcraft,441.07,784.31,SUPP0010,12,Valid
PROD0063,Sony Robotic Vacuum Cleaner v4,Home Appliances,Sony,36619.58,66603.58,SUPP0006,18,Valid
PROD0064,Lenovo Solid Teak Wood Dining Table v6,Furniture,Lenovo,32557.17,54308.12,SUPP0014,12,Valid
PROD0065,Prestige Microwave Oven 28L v1,Home Appliances,Prestige,16001.74,21066.24,SUPP0008,5,Valid
PROD0066,"Sony 4K OLED Smart TV 55"" v4",Electronics,Sony,13592.98,17140.76,SUPP0008,18,Valid
PROD0067,Samsung Bluetooth Speaker v8,Electronics,Samsung,38963.98,48447.88,SUPP0011,12,Valid
PROD0068,Tata Slim Fit Casual Shirt v4,Fashion,Tata,1489.51,2582.05,SUPP0014,28,Valid
PROD0069,Amul Non-Stick Cookware Set 5-Piece v6,Kitchen,Amul,5458.46,7980.95,SUPP0005,12,Valid
PROD0070,Milton Wireless Earbuds v2,Electronics,Milton,47708.25,65932.35,SUPP0005,5,Valid
PROD0071,Nike Robotic Vacuum Cleaner v7,Home Appliances,Nike,16531.81,28133.61,SUPP0010,18,Valid
PROD0072,Amul Football Match Ball v8,Sports,Amul,4004.73,4812.63,SUPP0004,12,Valid
PROD0073,Wildcraft Bluetooth Speaker v3,Electronics,Wildcraft,10002,15093.53,SUPP0001,18,Valid
PROD0074,Wildcraft Smartphone 5G v3,Electronics,Wildcraft,33651.48,49999.3,SUPP0011,28,Valid
PROD0075,Sony Designer Wristwatch v2,Fashion,Sony,1349.21,1963.92,SUPP0013,28,Valid
PROD0076,Lenovo Roasted Almonds 500g v5,Groceries,Lenovo,1019.29,1433.15,SUPP0002,12,Valid
PROD0077,Tata Split Inverter AC 1.5 Ton v3,Home Appliances,Tata,38194.73,59748.62,SUPP0008,18,Valid
PROD0078,OnePlus Organic Green Tea 250g v7,Groceries,OnePlus,810.34,1066.17,SUPP0014,18,Valid
PROD0079,Lenovo Pro Badminton Racket v7,Sports,Lenovo,4083.91,6386.69,SUPP0015,12,Valid
PROD0080,HP Solid Teak Wood Dining Table v1,Furniture,HP,8060.51,11563.97,SUPP0004,5,Valid
PROD0081,Sony Non-Stick Cookware Set 5-Piece v2,Kitchen,Sony,7779.43,13966.21,SUPP0009,5,Valid
PROD0082,Sony Induction Cooktop 2000W v5,Kitchen,Sony,5597.56,8166.23,SUPP0012,18,Valid
PROD0083,Tata Slim Fit Casual Shirt v1,Fashion,Tata,3932.22,7089.49,SUPP0010,28,Valid
PROD0084,Boat Motorized Standing Desk v9,Furniture,Boat,28548.93,34967.47,SUPP0001,12,Valid
PROD0085,Amul Pure Cow Ghee 1L v3,Groceries,Amul,172.76,300.97,SUPP0002,5,Valid
PROD0086,Tata Ergonomic Mesh Chair v6,Furniture,Tata,4765.43,7403.83,SUPP0014,12,Valid
PROD0087,Milton Organic Basmati Rice 5kg v6,Groceries,Milton,1017.75,1782.44,SUPP0006,12,Valid
PROD0088,Amul Non-Stick Cookware Set 5-Piece v9,Kitchen,Amul,514.79,840.1,SUPP0007,5,Valid
PROD0089,LG Bluetooth Speaker v3,Electronics,LG,47599.04,59716.79,SUPP0008,5,Valid
PROD0090,Milton Running Sports Shoes v9,Fashion,Milton,2048.39,3303.94,SUPP0014,5,Valid
PROD0091,Sony Designer Wristwatch v6,Fashion,Sony,838.52,1260.35,SUPP0014,5,Valid
PROD0092,Wildcraft Stainless Steel Water Bottle 1L v2,Kitchen,Wildcraft,1341.72,1689.04,SUPP0012,5,Valid
PROD0093,HP Robotic Vacuum Cleaner v1,Home Appliances,HP,35085.71,60090.55,SUPP0004,18,Valid
PROD0094,OnePlus Solid Teak Wood Dining Table v5,Furniture,OnePlus,29549.83,47797.04,SUPP0015,12,Valid
PROD0095,Nike Pure Cow Ghee 1L v5,Groceries,Nike,139.74,231.81,SUPP0003,18,Valid
PROD0096,Milton Split Inverter AC 1.5 Ton v7,Home Appliances,Milton,12103.32,16004.94,SUPP0015,12,Valid
PROD0097,Sony Split Inverter AC 1.5 Ton v8,Home Appliances,Sony,13743.17,20867.98,SUPP0010,18,Valid
PROD0098,Nike Cotton Polo T-Shirt v9,Fashion,Nike,2216.14,3568.36,SUPP0014,12,Valid
PROD0099,Puma Bluetooth Speaker v7,Electronics,Puma,10796.21,16946.4,SUPP0012,28,Valid
PROD0100,Tata Cotton Polo T-Shirt v5,Fashion,Tata,1210.9,2003.77,SUPP0009,18,Valid
PROD0101,Prestige Wireless Earbuds v5,Electronics,Prestige,14811.97,20285.73,SUPP0015,5,Valid
PROD0102,Tata Mixer Grinder 750W v8,Kitchen,Tata,1532.5,2423.55,SUPP0006,28,Valid
PROD0103,Milton Organic Basmati Rice 5kg v6,Groceries,Milton,865.44,1392.63,SUPP0014,5,Valid
PROD0104,Dell Microwave Oven 28L v6,Home Appliances,Dell,16808.55,30035.82,SUPP0003,18,Valid
PROD0105,Boat Denim Tapered Jeans v9,Fashion,Boat,1122.57,1362.95,SUPP0013,28,Valid
PROD0106,Milton Stainless Steel Water Bottle 1L v7,Kitchen,Milton,4235.93,5753.8,SUPP0012,18,Valid
PROD0107,HP Stainless Steel Water Bottle 1L v7,Kitchen,HP,2831.4,5184.29,SUPP0015,12,Valid
PROD0108,Wildcraft Football Match Ball v2,Sports,Wildcraft,7751.45,13201.86,SUPP0010,28,Valid
PROD0109,Samsung Mixer Grinder 750W v9,Kitchen,Samsung,1747.72,2438.73,SUPP0010,12,Valid
PROD0110,Nike Mixer Grinder 750W v3,Kitchen,Nike,5773.59,9887.68,SUPP0001,5,Valid
PROD0111,Nike Running Sports Shoes v6,Fashion,Nike,2253.66,2946.6,SUPP0001,12,Valid
PROD0112,Wildcraft Front Load Washing Machine 7kg v5,Home Appliances,Wildcraft,15569.89,20552.03,SUPP0014,12,Valid
PROD0113,OnePlus Solid Teak Wood Dining Table v3,Furniture,oneplus,24437.9,42758.61,SUPP0006,5,Valid
PROD0114,Boat L-Shaped Fabric Sofa v2,Furniture,Boat,17271.82,28436.52,SUPP0012,12,Valid
PROD0115,Tata Motorized Standing Desk v8,Furniture,Tata,25158.51,42668.49,SUPP0002,28,Valid
PROD0116,HP Front Load Washing Machine 7kg v7,Home Appliances,HP,35363.57,63078.49,SUPP0014,28,Valid
PROD0117,Dell Air Fryer 4.5L v2,Kitchen,Dell,3209.62,5249.08,SUPP0010,5,Valid
PROD0118,Wildcraft Robotic Vacuum Cleaner v3,Home Appliances,Wildcraft,35133.37,50589.81,SUPP0006,5,Valid
PROD0119,Milton Stainless Steel Water Bottle 1L v2,Kitchen,Milton,5629.18,7260.25,SUPP0004,5,Valid
PROD0120,Sony Microwave Oven 28L v2,Home Appliances,Sony,16932.43,27517.39,SUPP0007,12,Valid
PROD0121,Sony Denim Tapered Jeans v8,Fashion,Sony,494.53,901.54,SUPP0007,12,Valid
PROD0122,Dell Robotic Vacuum Cleaner v2,Home Appliances,Dell,22259.21,27906.73,SUPP0011,5,Valid
PROD0123,Puma Dark Chocolate 85% v1,Groceries,Puma,260.19,334,SUPP0009,28,Valid
PROD0124,Lenovo Organic Basmati Rice 5kg v8,Groceries,Lenovo,812.28,1328.59,SUPP0007,5,Valid
PROD0125,Dell Leather Travel Backpack v2,Fashion,Dell,2855.09,4915.24,SUPP0008,18,Valid
PROD0126,Lenovo Pro Badminton Racket v9,Sports,Lenovo,17500.33,22270.69,SUPP0003,28,Valid
PROD0127,Nike Stainless Steel Water Bottle 1L v2,Kitchen,Nike,1618.14,2296.34,SUPP0015,18,Valid
PROD0128,Prestige Robotic Vacuum Cleaner v8,Home Appliances,Prestige,20982.74,31518.09,SUPP0001,5,Valid
PROD0129,Lenovo Motorized Treadmill 2.5HP v6,Sports,Lenovo,1186.3,1885.7,SUPP0006,18,Valid
PROD0130,HP L-Shaped Fabric Sofa v1,Furniture,HP,19682.07,25905.02,SUPP0006,28,Valid
PROD0131,Lenovo Smartwatch Ultra v5,Electronics,Lenovo,41630.09,66077.62,SUPP0006,5,Valid
PROD0132,Amul Stainless Steel Water Bottle 1L v4,Kitchen,Amul,1819.39,2815.94,SUPP0003,12,Valid
PROD0133,Lenovo Dark Chocolate 85% v5,Groceries,Lenovo,466.83,699.18,SUPP0010,12,Valid
PROD0134,Wildcraft Football Match Ball v8,Sports,Wildcraft,1019.35,1439.61,SUPP0001,12,Valid
PROD0135,Amul Induction Cooktop 2000W v7,Kitchen,Amul,4552.32,7609.25,SUPP0006,18,Valid
PROD0136,Dell Ergonomic Mesh Chair v3,Furniture,Dell,33337.02,45570.3,SUPP0011,5,Valid
PROD0137,Wildcraft Motorized Treadmill 2.5HP v2,Sports,Wildcraft,14347.51,22541.11,SUPP0005,12,Valid
PROD0138,Nike Organic Basmati Rice 5kg v6,Groceries,Nike,722.14,967.59,SUPP0015,28,Valid
PROD0139,Amul Cotton Polo T-Shirt v3,Fashion,Amul,1498.94,2452.92,SUPP0010,28,Valid
PROD0140,Tata Split Inverter AC 1.5 Ton v5,Home Appliances,tata,2714.67,3623.1,SUPP0013,28,Valid
PROD0141,Boat Roasted Almonds 500g v5,Groceries,Boat,597.93,1024.65,SUPP0011,18,Valid
PROD0142,LG Wireless Earbuds v1,Electronics,LG,46318.35,62237.39,SUPP0010,18,Valid
PROD0143,Amul Organic Green Tea 250g v8,Groceries,Amul,738.46,1190.84,SUPP0006,28,Valid
PROD0144,Wildcraft Modular Bookshelf v1,Furniture,Wildcraft,12988.85,18285.29,SUPP0014,28,Valid
PROD0145,Lenovo Microwave Oven 28L v4,Home Appliances,Lenovo,25120.22,32920.27,SUPP0007,18,Valid
PROD0146,Samsung Modular Bookshelf v2,Furniture,Samsung,22651.37,35446.26,SUPP0006,5,Valid
PROD0147,Amul Robotic Vacuum Cleaner v6,Home Appliances,Amul,15421.39,26032.19,SUPP0008,28,Valid
PROD0148,Boat Bluetooth Speaker v3,Electronics,Boat,40877.82,64062.91,SUPP0007,5,Valid
PROD0149,Sony Football Match Ball v8,Sports,Sony,17817.34,25727.08,SUPP0009,12,Valid
PROD0150,Milton Ergonomic Mesh Chair v2,Furniture,Milton,14757.61,19736.07,SUPP0002,18,Valid
PROD0151,Puma Front Load Washing Machine 7kg v7,Home Appliances,Puma,25877.99,36974.89,SUPP0004,28,Valid
PROD0152,Sony Non-Stick Cookware Set 5-Piece v6,Kitchen,Sony,5505.23,8983.17,SUPP0011,18,Valid
PROD0153,Prestige Air Fryer 4.5L v7,Kitchen,Prestige,2223.3,3251.75,SUPP0013,28,Valid
PROD0154,Puma Denim Tapered Jeans v3,Fashion,Puma,4184.23,5504.18,SUPP0005,5,Valid
PROD0155,Puma Non-Stick Cookware Set 5-Piece v8,Kitchen,Puma,5715.14,9396.71,SUPP0002,28,Valid
PROD0156,Tata Stainless Steel Water Bottle 1L v7,Kitchen,Tata,3723.38,6008.31,SUPP0010,12,Valid
PROD0157,Milton Robotic Vacuum Cleaner v9,Home Appliances,Milton,44953.67,71463.72,SUPP0012,28,Valid
PROD0158,HP Bluetooth Speaker v4,Electronics,HP,11486.66,18454.14,SUPP0011,5,Valid
PROD0159,Samsung Cotton Polo T-Shirt v7,Fashion,Samsung,2641.04,4651.49,SUPP0014,12,Valid
PROD0160,HP Solid Teak Wood Dining Table v3,Furniture,HP,17317.66,28804.73,SUPP0004,18,Valid
PROD0161,Sony Double Door Refrigerator 340L v1,Home Appliances,Sony,11297.81,16944.08,SUPP0004,28,Valid
PROD0162,Nike Front Load Washing Machine 7kg v8,Home Appliances,Nike,23759.13,30227.61,SUPP0010,18,Valid
PROD0163,Wildcraft Non-Slip Yoga Mat 8mm v4,Sports,Wildcraft,8481.16,15483.27,SUPP0001,5,Valid
PROD0164,Tata Dark Chocolate 85% v9,Groceries,Tata,1195,2103.69,SUPP0002,28,Valid
PROD0165,Wildcraft Cotton Polo T-Shirt v9,Fashion,Wildcraft,852.08,1452.62,SUPP0011,5,Valid
PROD0166,Lenovo Ergonomic Mesh Chair v5,Furniture,Lenovo,28690.69,49875.9,SUPP0012,5,Valid
PROD0167,Dell Cotton Polo T-Shirt v9,Fashion,Dell,2961.46,4400.82,SUPP0013,5,Valid
PROD0168,Boat Smartwatch Ultra v2,Electronics,Boat,47152.03,67814.14,SUPP0011,18,Valid
PROD0169,Wildcraft Front Load Washing Machine 7kg v8,Home Appliances,Wildcraft,11428.61,14435.84,SUPP0011,5,Valid
PROD0170,Wildcraft Motorized Standing Desk v4,Furniture,Wildcraft,26858.85,38209.07,SUPP0012,28,Valid
PROD0171,Nike Denim Tapered Jeans v5,Fashion,Nike,2708.16,4296.17,SUPP0013,12,Valid
PROD0172,Prestige Split Inverter AC 1.5 Ton v1,Home Appliances,Prestige,11893.42,17139.05,SUPP0006,18,Valid
PROD0173,Amul Running Sports Shoes v5,Fashion,Amul,2322.43,3450.92,SUPP0005,12,Valid
PROD0174,Nike Pure Cow Ghee 1L v3,Groceries,Nike,760.34,1337.02,SUPP0005,12,Valid
PROD0175,Puma Wireless Earbuds v5,Electronics,Puma,10324.93,12470.9,SUPP0006,28,Valid
PROD0176,Milton Solid Teak Wood Dining Table v6,Furniture,Milton,23069.03,36486.86,SUPP0009,18,Valid
PROD0177,HP Stainless Steel Water Bottle 1L v8,Kitchen,HP,5651.85,9981.21,SUPP0008,12,Valid
PROD0178,Wildcraft Motorized Standing Desk v1,Furniture,Wildcraft,23902.95,29689.6,SUPP0004,18,Valid
PROD0179,LG Front Load Washing Machine 7kg v5,Home Appliances,LG,28367.25,47478.13,SUPP0002,12,Valid
PROD0180,Lenovo Denim Tapered Jeans v1,Fashion,Lenovo,3835.91,6711.83,SUPP0013,12,Valid
PROD0181,LG Roasted Almonds 500g v1,Groceries,LG,526.31,665.39,SUPP0006,5,Valid
PROD0182,Prestige Designer Wristwatch v9,Fashion,Prestige,3971.35,7270.68,SUPP0001,28,Valid
PROD0183,Prestige Mixer Grinder 750W v4,Kitchen,Prestige,2474.18,4158.19,SUPP0012,12,Valid
PROD0184,Amul Microwave Oven 28L v3,Home Appliances,Amul,4209.89,6718.73,SUPP0009,18,Valid
PROD0185,Amul Wireless Earbuds v2,Electronics,Amul,58974.25,75850.13,SUPP0005,5,Valid
PROD0186,LG Front Load Washing Machine 7kg v8,Home Appliances,LG,22231.53,34436.79,SUPP0013,5,Valid
PROD0187,Nike Cotton Polo T-Shirt v2,Fashion,Nike,1165.17,1486.37,SUPP0002,28,Valid
PROD0188,OnePlus Robotic Vacuum Cleaner v4,Home Appliances,OnePlus,27927.49,38958.14,SUPP0001,28,Valid
PROD0189,Wildcraft Adjustable Dumbbell 20kg v8,Sports,Wildcraft,14059.91,18652.15,SUPP0013,28,Valid
PROD0190,"Sony Gaming Laptop 15"" v5",Electronics,Sony,32425.25,42630.96,SUPP0009,28,Valid
PROD0191,Sony Non-Stick Cookware Set 5-Piece v5,Kitchen,Sony,7424.81,10111.58,SUPP0005,18,Valid
PROD0192,Lenovo Organic Basmati Rice 5kg v3,Groceries,Lenovo,626.09,881.21,SUPP0009,28,Valid
PROD0193,Boat Solid Teak Wood Dining Table v2,Furniture,Boat,26974.67,44169.26,SUPP0002,28,Valid
PROD0194,Tata Cotton Polo T-Shirt v9,Fashion,Tata,3763.61,4989.93,SUPP0002,12,Valid
PROD0195,Sony Robotic Vacuum Cleaner v5,Home Appliances,Sony,16100.67,24871.67,SUPP0002,18,Valid
PROD0196,LG Air Fryer 4.5L v3,Kitchen,LG,3022.5,4004.02,SUPP0007,12,Valid
PROD0197,Boat Football Match Ball v3,Sports,Boat,6064.56,9313.36,SUPP0008,28,Valid
PROD0198,Amul Pro Badminton Racket v4,Sports,Amul,16811.33,25331.11,SUPP0014,18,Valid
PROD0199,Boat Leather Travel Backpack v6,Fashion,Boat,3365.84,5853.2,SUPP0006,28,Valid
PROD0200,Dell Designer Wristwatch v7,Fashion,Dell,3515.19,4231.19,SUPP0007,5,Valid
PROD0201,HP Solid Teak Wood Dining Table v8,Furniture,HP,27196.13,32979.71,SUPP0012,12,Valid
PROD0202,Tata Split Inverter AC 1.5 Ton v5,Home Appliances,Tata,37883.45,46043.22,SUPP0007,28,Valid
PROD0203,Prestige Designer Wristwatch v4,Fashion,Prestige,3659.52,5860.4,SUPP0008,18,Valid
PROD0204,OnePlus Wireless Earbuds v3,Electronics,OnePlus,21696.01,32799.89,SUPP0012,28,Valid
PROD0205,"Nike 4K OLED Smart TV 55"" v7",Electronics,Nike,44956.82,80507.63,SUPP0008,12,Valid
PROD0206,Milton Designer Wristwatch v7,Fashion,Milton,596.16,737.14,SUPP0006,18,Valid
PROD0207,HP Stainless Steel Water Bottle 1L v5,Kitchen,HP,1299.35,1672.63,SUPP0012,5,Valid
PROD0208,Nike Cotton Polo T-Shirt v7,Fashion,Nike,3770.89,6667.19,SUPP0010,18,Valid
PROD0209,LG Air Fryer 4.5L v2,Kitchen,LG,3949.92,5581.62,SUPP0009,18,Valid
PROD0210,Prestige Non-Stick Cookware Set 5-Piece v1,Kitchen,Prestige,1537.79,2614.92,SUPP0014,18,Valid
PROD0211,HP Motorized Treadmill 2.5HP v4,Sports,HP,3559.28,5354.62,SUPP0008,18,Valid
PROD0212,LG Cotton Polo T-Shirt v5,Fashion,LG,1409.73,2376.77,SUPP0001,12,Valid
PROD0213,"Tata Gaming Laptop 15"" v7",Electronics,Tata,26242.97,39787.82,SUPP0001,5,Valid
PROD0214,HP Induction Cooktop 2000W v7,Kitchen,HP,8464.8,15438.63,SUPP0014,18,Valid
PROD0215,Prestige Motorized Treadmill 2.5HP v5,Sports,Prestige,10474.23,16888.05,SUPP0012,5,Valid
PROD0216,OnePlus Air Fryer 4.5L v2,Kitchen,OnePlus,4707.28,8092.21,SUPP0014,5,Valid
PROD0217,Wildcraft Stainless Steel Water Bottle 1L v4,Kitchen,Wildcraft,6490.45,11024.84,SUPP0007,18,Valid
PROD0218,Lenovo Solid Teak Wood Dining Table v6,Furniture,Lenovo,3946.36,6397.43,SUPP0006,28,Valid
PROD0219,Nike Stainless Steel Water Bottle 1L v1,Kitchen,Nike,3651.88,5079.69,SUPP0010,28,Valid
PROD0220,Samsung Wireless Earbuds v6,Electronics,Samsung,28223.01,38616.26,SUPP0004,18,Valid
PROD0221,Lenovo Mixer Grinder 750W v6,Kitchen,Lenovo,7635.27,12710.34,SUPP0010,12,Valid
PROD0222,Nike Front Load Washing Machine 7kg v4,Home Appliances,Nike,15610.47,19756.34,SUPP0009,5,Valid
PROD0223,Boat Football Match Ball v6,Sports,Boat,17197.49,24297.47,SUPP0006,12,Valid
PROD0224,LG Pure Cow Ghee 1L v5,Groceries,LG,262.88,484.79,SUPP0004,12,Valid
PROD0225,HP Adjustable Dumbbell 20kg v3,Sports,HP,15834.19,28720.87,SUPP0002,28,Valid
PROD0226,"Lenovo 4K OLED Smart TV 55"" v4",Electronics,Lenovo,25222.74,37592.68,SUPP0007,12,Valid
PROD0227,Nike Microwave Oven 28L v2,Home Appliances,Nike,6446.2,8469.1,SUPP0015,5,Valid
PROD0228,Nike Front Load Washing Machine 7kg v2,Home Appliances,Nike,42479.57,71425.88,SUPP0006,18,Valid
PROD0229,LG Solid Teak Wood Dining Table v2,Furniture,LG,28293.01,40569.57,SUPP0005,5,Valid
PROD0230,Samsung Ergonomic Mesh Chair v7,Furniture,Samsung,28414.29,41490.56,SUPP0014,5,Valid
PROD0231,HP Leather Travel Backpack v2,Fashion,HP,2151.72,3767.82,SUPP0005,12,Valid
PROD0232,OnePlus Dark Chocolate 85% v8,Groceries,OnePlus,97.75,178.57,SUPP0012,18,Valid
PROD0233,Boat Wireless Earbuds v3,Electronics,Boat,37045.99,47536.17,SUPP0003,12,Valid
PROD0234,Lenovo Organic Basmati Rice 5kg v1,Groceries,Lenovo,747.75,999.28,SUPP0012,18,Valid
PROD0235,Milton Denim Tapered Jeans v3,Fashion,Milton,2089.84,2745.03,SUPP0009,12,Valid
PROD0236,Nike Pure Cow Ghee 1L v6,Groceries,Nike,1064.57,1353.18,SUPP0003,5,Valid
PROD0237,LG L-Shaped Fabric Sofa v7,Furniture,LG,22447.97,40200.67,SUPP0005,18,Valid
PROD0238,Nike Smartphone 5G v6,Electronics,Nike,2629.5,3959.57,SUPP0012,12,Valid
PROD0239,Samsung Modular Bookshelf v7,Furniture,Samsung,27043.83,45153.45,SUPP0003,12,Valid
PROD0240,Samsung Smartwatch Ultra v4,Electronics,Samsung,6714.35,12370.01,SUPP0002,28,Valid
PROD0241,Dell Modular Bookshelf v8,Furniture,Dell,6002.58,9556.86,SUPP0011,5,Valid
